Time,Time Code,Country Name,Country Code,Population density (people per sq. km of land area) [EN.POP.DNST],Urban population [SP.URB.TOTL],Urban population growth (annual %) [SP.URB.GROW],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Industry, value added (current US$) [NV.IND.TOTL.CD]","Agriculture, value added (current US$) [NV.AGR.TOTL.CD]","Services, etc., value added (current US$) [NV.SRV.TETC.CD]",Present value of external debt (current US$) [DT.DOD.PVLX.CD],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]","Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Fuel imports (% of merchandise imports) [TM.VAL.FUEL.ZS.UN],Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],Access to electricity (% of population) [EG.ELC.ACCS.ZS],High-technology exports (current US$) [TX.VAL.TECH.CD],"Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",CPIA business regulatory environment rating (1=low to 6=high) [IQ.CPA.BREG.XQ],CPIA policy and institutions for environmental sustainability rating (1=low to 6=high) [IQ.CPA.ENVR.XQ],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Urban population (% of total) [SP.URB.TOTL.IN.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],"Air transport, freight (million ton-km) [IS.AIR.GOOD.MT.K1]",Travel services (% of commercial service imports) [TM.VAL.TRVL.ZS.WT],Travel services (% of commercial service exports) [TX.VAL.TRVL.ZS.WT],Transport services (% of commercial service exports) [TX.VAL.TRAN.ZS.WT],Transport services (% of commercial service imports) [TM.VAL.TRAN.ZS.WT],"Air transport, passengers carried [IS.AIR.PSGR]","Railways, goods transported (million ton-km) [IS.RRS.GOOD.MT.K6]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]"
1960,YR1960,United States,USA,..,126462473,2.4491044645664,..,..,..,..,..,..,..,..,..,20601000000,16381300000,..,..,..,..,..,15.9997791565885,69.996,30.004,..,..,..,..,..,..,..,..
1960,YR1960,China,CHN,..,108085352,4.93549473168107,..,26509058412.5437,13839467056.6252,19367942156.1459,..,..,..,..,..,2571280000,2648460000,..,..,..,..,..,1.17038137226978,16.203,83.797,..,..,..,..,..,..,..,..
1960,YR1960,Japan,JPN,..,58526962,2.40726261252606,..,..,..,..,..,..,..,..,..,4054720000,4491110000,..,..,..,..,..,2.51653751935718,63.272,36.728,..,..,..,..,..,..,..,..
1960,YR1960,Germany,DEU,..,51978188,1.25165896008415,..,..,..,..,..,..,..,..,..,11415500000,10172100000,..,..,..,..,..,..,71.384,28.616,..,..,..,..,..,..,..,..
1960,YR1960,France,FRA,..,28968650,2.42450305343692,13799244448.8441,18679335423.2908,6590049342.02451,..,..,..,..,..,..,6866430000,6282280000,..,..,..,..,..,5.79350794502963,61.88,38.12,..,..,..,..,..,..,..,..
1960,YR1960,United Kingdom,GBR,..,41104656,0.277313858358443,..,..,..,..,..,..,..,..,..,10609200000,13034000000,..,..,..,..,..,11.1507591603053,78.444,21.556,..,..,..,..,..,..,..,..
1960,YR1960,India,IND,..,80564904,2.33269452011947,5598824229.82423,7970729771.72977,15267544572.5446,11350817404.8174,..,..,..,..,..,1331610000,2303280000,..,..,..,..,..,0.268269551241686,17.924,82.076,..,..,..,..,..,..,..,..
1960,YR1960,Brazil,BRA,..,33315843,5.14910339982216,3852188024.9444,4822690307.91158,2679301006.89669,5508861249.27002,..,..,..,..,..,1268000000,1462000000,..,..,..,..,..,0.649630979052413,46.139,53.861,..,..,..,..,..,..,..,..
1960,YR1960,Italy,ITA,..,29799044,2.83640101522505,..,..,..,..,..,..,..,..,..,3656900000,4733930000,..,..,..,..,..,2.1784447715823,59.361,40.639,..,..,..,..,..,..,..,..
1960,YR1960,Canada,CAN,..,12368141,3.16245655283511,..,..,..,..,..,..,..,..,..,5818300000,6073080000,..,..,..,..,..,10.7708472869716,69.061,30.939,..,46.8168064521593,41.9235223707785,21.5175118916821,25.2291501617131,..,..,..
