Time,Time Code,Country Name,Country Code,Pump price for gasoline (US$ per liter) [EP.PMP.SGAS.CD]
1960,YR1960,Argentina,ARG,..
1960,YR1960,Australia,AUS,..
1960,YR1960,Austria,AUT,..
1960,YR1960,Belgium,BEL,..
1960,YR1960,Brazil,BRA,..
1960,YR1960,Canada,CAN,..
1960,YR1960,China,CHN,..
1960,YR1960,"Egypt, Arab Rep.",EGY,..
1960,YR1960,France,FRA,..
1960,YR1960,Germany,DEU,..
1960,YR1960,India,IND,..
1960,YR1960,Indonesia,IDN,..
1960,YR1960,"Iran, Islamic Rep.",IRN,..
1960,YR1960,Italy,ITA,..
1960,YR1960,Japan,JPN,..
1960,YR1960,"Korea, Rep.",KOR,..
1960,YR1960,Mexico,MEX,..
1960,YR1960,Netherlands,NLD,..
1960,YR1960,Nigeria,NGA,..
1960,YR1960,Norway,NOR,..
1960,YR1960,Poland,POL,..
1960,YR1960,Russian Federation,RUS,..
1960,YR1960,Saudi Arabia,SAU,..
1960,YR1960,Spain,ESP,..
1960,YR1960,Sweden,SWE,..
1960,YR1960,Switzerland,CHE,..
1960,YR1960,Thailand,THA,..
1960,YR1960,Turkey,TUR,..
1960,YR1960,United Kingdom,GBR,..
1960,YR1960,United States,USA,..
1961,YR1961,Argentina,ARG,..
1961,YR1961,Australia,AUS,..
1961,YR1961,Austria,AUT,..
1961,YR1961,Belgium,BEL,..
1961,YR1961,Brazil,BRA,..
1961,YR1961,Canada,CAN,..
1961,YR1961,China,CHN,..
1961,YR1961,"Egypt, Arab Rep.",EGY,..
1961,YR1961,France,FRA,..
1961,YR1961,Germany,DEU,..
1961,YR1961,India,IND,..
1961,YR1961,Indonesia,IDN,..
1961,YR1961,"Iran, Islamic Rep.",IRN,..
1961,YR1961,Italy,ITA,..
1961,YR1961,Japan,JPN,..
1961,YR1961,"Korea, Rep.",KOR,..
1961,YR1961,Mexico,MEX,..
1961,YR1961,Netherlands,NLD,..
1961,YR1961,Nigeria,NGA,..
1961,YR1961,Norway,NOR,..
1961,YR1961,Poland,POL,..
1961,YR1961,Russian Federation,RUS,..
1961,YR1961,Saudi Arabia,SAU,..
1961,YR1961,Spain,ESP,..
1961,YR1961,Sweden,SWE,..
1961,YR1961,Switzerland,CHE,..
1961,YR1961,Thailand,THA,..
1961,YR1961,Turkey,TUR,..
1961,YR1961,United Kingdom,GBR,..
1961,YR1961,United States,USA,..
1962,YR1962,Argentina,ARG,..
1962,YR1962,Australia,AUS,..
1962,YR1962,Austria,AUT,..
1962,YR1962,Belgium,BEL,..
1962,YR1962,Brazil,BRA,..
1962,YR1962,Canada,CAN,..
1962,YR1962,China,CHN,..
1962,YR1962,"Egypt, Arab Rep.",EGY,..
1962,YR1962,France,FRA,..
1962,YR1962,Germany,DEU,..
1962,YR1962,India,IND,..
1962,YR1962,Indonesia,IDN,..
1962,YR1962,"Iran, Islamic Rep.",IRN,..
1962,YR1962,Italy,ITA,..
1962,YR1962,Japan,JPN,..
1962,YR1962,"Korea, Rep.",KOR,..
1962,YR1962,Mexico,MEX,..
1962,YR1962,Netherlands,NLD,..
1962,YR1962,Nigeria,NGA,..
1962,YR1962,Norway,NOR,..
1962,YR1962,Poland,POL,..
1962,YR1962,Russian Federation,RUS,..
1962,YR1962,Saudi Arabia,SAU,..
1962,YR1962,Spain,ESP,..
1962,YR1962,Sweden,SWE,..
1962,YR1962,Switzerland,CHE,..
1962,YR1962,Thailand,THA,..
1962,YR1962,Turkey,TUR,..
1962,YR1962,United Kingdom,GBR,..
1962,YR1962,United States,USA,..
1963,YR1963,Argentina,ARG,..
1963,YR1963,Australia,AUS,..
1963,YR1963,Austria,AUT,..
1963,YR1963,Belgium,BEL,..
1963,YR1963,Brazil,BRA,..
1963,YR1963,Canada,CAN,..
1963,YR1963,China,CHN,..
1963,YR1963,"Egypt, Arab Rep.",EGY,..
1963,YR1963,France,FRA,..
1963,YR1963,Germany,DEU,..
1963,YR1963,India,IND,..
1963,YR1963,Indonesia,IDN,..
1963,YR1963,"Iran, Islamic Rep.",IRN,..
1963,YR1963,Italy,ITA,..
1963,YR1963,Japan,JPN,..
1963,YR1963,"Korea, Rep.",KOR,..
1963,YR1963,Mexico,MEX,..
1963,YR1963,Netherlands,NLD,..
1963,YR1963,Nigeria,NGA,..
1963,YR1963,Norway,NOR,..
1963,YR1963,Poland,POL,..
1963,YR1963,Russian Federation,RUS,..
1963,YR1963,Saudi Arabia,SAU,..
1963,YR1963,Spain,ESP,..
1963,YR1963,Sweden,SWE,..
